iter	Logloss
0	0.6916633898
1	0.6902196181
2	0.6888094184
3	0.6874407118
4	0.6860414931
5	0.6846871528
6	0.6833575304
7	0.6820898438
8	0.6808636285
9	0.6796184679
10	0.6784099826
11	0.6771924045
12	0.6759924479
13	0.6748449436
14	0.6736887587
15	0.6725828342
16	0.6714412326
17	0.6703666884
18	0.6693389757
19	0.6682920573
20	0.6672165799
21	0.6661774523
22	0.665164974
23	0.6641772786
24	0.6632259983
25	0.6622910807
26	0.6613310547
27	0.6603582031
28	0.6593988281
29	0.6585837023
30	0.6576982205
31	0.6568152561
32	0.6559941623
33	0.6551383247
34	0.6543421875
35	0.65350727
36	0.6527397135
37	0.6520164063
38	0.6511694661
39	0.6503473307
40	0.6495710286
41	0.648806467
42	0.6480977865
43	0.647350651
44	0.6466355903
45	0.6459222873
46	0.6451931858
47	0.6445314453
48	0.6438507378
49	0.6432446832
