iter	Passed	Remaining
0	118	5820
1	197	4729
2	263	4125
3	333	3832
4	399	3597
5	471	3457
6	546	3356
7	615	3229
8	683	3112
9	761	3047
10	832	2951
11	903	2859
12	975	2775
13	1041	2678
14	1109	2588
15	1196	2543
16	1265	2457
17	1338	2379
18	1408	2298
19	1474	2211
20	1539	2126
21	1618	2059
22	1693	1988
23	1772	1919
24	1842	1842
25	1914	1767
26	1980	1686
27	2050	1611
28	2117	1533
29	2198	1465
30	2271	1392
31	2336	1314
32	2401	1237
33	2465	1160
34	2549	1092
35	2635	1024
36	2705	950
37	2798	883
38	2873	810
39	2941	735
40	3012	661
41	3079	586
42	3162	514
43	3238	441
44	3310	367
45	3380	293
46	3453	220
47	3522	146
48	3591	73
49	3668	0
